,,,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income
Rhode Island,Arthritis,18+,2014,Percent,31%
Rhode Island,Arthritis,18+,2014,Num of persons,"59,189"
Rhode Island,Arthritis,18+,2015,Percent,30%
Rhode Island,Arthritis,18+,2015,Num of persons,"49,379"
Rhode Island,Arthritis,18+,2016,Percent,31%
Rhode Island,Arthritis,18+,2016,Num of persons,"52,340"
Rhode Island,Asthma (current),18+,2013,Percent,17%
Rhode Island,Asthma (current),18+,2013,Num of persons,"32,709"
Rhode Island,Asthma (current),18+,2014,Percent,15%
Rhode Island,Asthma (current),18+,2014,Num of persons,"27,829"
Rhode Island,Asthma (current),18+,2015,Percent,15%
Rhode Island,Asthma (current),18+,2015,Num of persons,"24,868"
Rhode Island,Asthma (current),18+,2016,Percent,12%
Rhode Island,Asthma (current),18+,2016,Num of persons,"20,997"
Rhode Island,Cancer,18+,2013,Percent,12%
Rhode Island,Cancer,18+,2013,Num of persons,"24,250"
Rhode Island,Cancer,18+,2014,Percent,10%
Rhode Island,Cancer,18+,2014,Num of persons,"20,192"
Rhode Island,Cancer,18+,2015,Percent,11%
Rhode Island,Cancer,18+,2015,Num of persons,"18,393"
Rhode Island,Cancer,18+,2016,Percent,13%
Rhode Island,Cancer,18+,2016,Num of persons,"22,062"
Rhode Island,Chronic kidney disease,18+,2013,Percent,4%
Rhode Island,Chronic kidney disease,18+,2013,Num of persons,"8,205"
Rhode Island,Chronic kidney disease,18+,2014,Percent,4%
Rhode Island,Chronic kidney disease,18+,2014,Num of persons,"7,734"
Rhode Island,Chronic kidney disease,18+,2015,Percent,4%
Rhode Island,Chronic kidney disease,18+,2015,Num of persons,"6,683"
Rhode Island,Chronic kidney disease,18+,2016,Percent,3%
Rhode Island,Chronic kidney disease,18+,2016,Num of persons,"5,842"
Rhode Island,COPD,18+,2013,Percent,14%
Rhode Island,COPD,18+,2013,Num of persons,"27,039"
Rhode Island,COPD,18+,2014,Percent,10%
Rhode Island,COPD,18+,2014,Num of persons,"18,477"
Rhode Island,COPD,18+,2015,Percent,12%
Rhode Island,COPD,18+,2015,Num of persons,"20,558"
Rhode Island,COPD,18+,2016,Percent,12%
Rhode Island,COPD,18+,2016,Num of persons,"20,506"
Rhode Island,Depression,18+,2013,Percent,32%
Rhode Island,Depression,18+,2013,Num of persons,"62,676"
Rhode Island,Depression,18+,2014,Percent,33%
Rhode Island,Depression,18+,2014,Num of persons,"63,358"
Rhode Island,Depression,18+,2015,Percent,32%
Rhode Island,Depression,18+,2015,Num of persons,"53,809"
Rhode Island,Depression,18+,2016,Percent,35%
Rhode Island,Depression,18+,2016,Num of persons,"59,094"
Rhode Island,Diabetes,18+,2013,Percent,14%
Rhode Island,Diabetes,18+,2013,Num of persons,"26,927"
Rhode Island,Diabetes,18+,2014,Percent,14%
Rhode Island,Diabetes,18+,2014,Num of persons,"26,617"
Rhode Island,Diabetes,18+,2015,Percent,13%
Rhode Island,Diabetes,18+,2015,Num of persons,"21,686"
Rhode Island,Diabetes,18+,2016,Percent,13%
Rhode Island,Diabetes,18+,2016,Num of persons,"22,337"
Rhode Island,Pre-diabetes or borderline diabetes,18+,2013,Percent,1%
Rhode Island,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"2,883"
Rhode Island,Pre-diabetes or borderline diabetes,18+,2014,Percent,6%
Rhode Island,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"12,076"
Rhode Island,Pre-diabetes or borderline diabetes,18+,2015,Percent,1%
Rhode Island,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"1,895"
Rhode Island,Pre-diabetes or borderline diabetes,18+,2016,Percent,3%
Rhode Island,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"4,407"
Rhode Island,Heart disease (angina or CHD),18+,2013,Percent,6%
Rhode Island,Heart disease (angina or CHD),18+,2013,Num of persons,"11,569"
Rhode Island,Heart disease (angina or CHD),18+,2014,Percent,6%
Rhode Island,Heart disease (angina or CHD),18+,2014,Num of persons,"11,199"
Rhode Island,Heart disease (angina or CHD),18+,2015,Percent,7%
Rhode Island,Heart disease (angina or CHD),18+,2015,Num of persons,"11,644"
Rhode Island,Heart disease (angina or CHD),18+,2016,Percent,7%
Rhode Island,Heart disease (angina or CHD),18+,2016,Num of persons,"11,323"
Rhode Island,High cholesterol (among those tested),18+,2013,Percent,43%
Rhode Island,High cholesterol (among those tested),18+,2013,Num of persons,"60,730"
Rhode Island,High cholesterol (among those tested),18+,2014,Percent,NA
Rhode Island,High cholesterol (among those tested),18+,2014,Num of persons,NA
Rhode Island,High cholesterol (among those tested),18+,2015,Percent,42%
Rhode Island,High cholesterol (among those tested),18+,2015,Num of persons,"51,637"
Rhode Island,High cholesterol (among those tested),18+,2016,Percent,NA
Rhode Island,High cholesterol (among those tested),18+,2016,Num of persons,NA
Rhode Island,Hypertension,18+,2013,Percent,37%
Rhode Island,Hypertension,18+,2013,Num of persons,"73,786"
Rhode Island,Hypertension,18+,2014,Percent,NA
Rhode Island,Hypertension,18+,2014,Num of persons,NA
Rhode Island,Hypertension,18+,2015,Percent,38%
Rhode Island,Hypertension,18+,2015,Num of persons,"64,095"
Rhode Island,Hypertension,18+,2016,Percent,NA
Rhode Island,Hypertension,18+,2016,Num of persons,NA
South Carolina,Arthritis,18+,2013,Percent,38%
South Carolina,Arthritis,18+,2013,Num of persons,"431,931"
South Carolina,Arthritis,18+,2014,Percent,35%
South Carolina,Arthritis,18+,2014,Num of persons,"392,418"
South Carolina,Arthritis,18+,2015,Percent,37%
South Carolina,Arthritis,18+,2015,Num of persons,"365,250"
South Carolina,Arthritis,18+,2016,Percent,39%
South Carolina,Arthritis,18+,2016,Num of persons,"387,030"
South Carolina,Asthma (current),18+,2013,Percent,13%
South Carolina,Asthma (current),18+,2013,Num of persons,"149,029"
South Carolina,Asthma (current),18+,2014,Percent,12%
South Carolina,Asthma (current),18+,2014,Num of persons,"129,640"
South Carolina,Asthma (current),18+,2015,Percent,12%
South Carolina,Asthma (current),18+,2015,Num of persons,"120,132"
South Carolina,Asthma (current),18+,2016,Percent,13%
South Carolina,Asthma (current),18+,2016,Num of persons,"128,944"
South Carolina,Cancer,18+,2013,Percent,12%
South Carolina,Cancer,18+,2013,Num of persons,"139,779"
South Carolina,Cancer,18+,2014,Percent,12%
South Carolina,Cancer,18+,2014,Num of persons,"133,320"
South Carolina,Cancer,18+,2015,Percent,12%
South Carolina,Cancer,18+,2015,Num of persons,"119,609"
South Carolina,Cancer,18+,2016,Percent,13%
South Carolina,Cancer,18+,2016,Num of persons,"125,614"
South Carolina,Chronic kidney disease,18+,2013,Percent,4%
South Carolina,Chronic kidney disease,18+,2013,Num of persons,"42,879"
South Carolina,Chronic kidney disease,18+,2014,Percent,4%
South Carolina,Chronic kidney disease,18+,2014,Num of persons,"44,501"
South Carolina,Chronic kidney disease,18+,2015,Percent,4%
South Carolina,Chronic kidney disease,18+,2015,Num of persons,"44,591"
South Carolina,Chronic kidney disease,18+,2016,Percent,5%
South Carolina,Chronic kidney disease,18+,2016,Num of persons,"46,824"
South Carolina,COPD,18+,2013,Percent,13%
South Carolina,COPD,18+,2013,Num of persons,"148,319"
South Carolina,COPD,18+,2014,Percent,12%
South Carolina,COPD,18+,2014,Num of persons,"138,862"
South Carolina,COPD,18+,2015,Percent,13%
South Carolina,COPD,18+,2015,Num of persons,"128,104"
South Carolina,COPD,18+,2016,Percent,14%
South Carolina,COPD,18+,2016,Num of persons,"144,483"
South Carolina,Depression,18+,2013,Percent,28%
South Carolina,Depression,18+,2013,Num of persons,"316,028"
South Carolina,Depression,18+,2014,Percent,28%
South Carolina,Depression,18+,2014,Num of persons,"310,647"
South Carolina,Depression,18+,2015,Percent,29%
South Carolina,Depression,18+,2015,Num of persons,"293,218"
South Carolina,Depression,18+,2016,Percent,30%
South Carolina,Depression,18+,2016,Num of persons,"297,202"
South Carolina,Diabetes,18+,2013,Percent,16%
South Carolina,Diabetes,18+,2013,Num of persons,"185,050"
South Carolina,Diabetes,18+,2014,Percent,17%
South Carolina,Diabetes,18+,2014,Num of persons,"186,604"
South Carolina,Diabetes,18+,2015,Percent,17%
South Carolina,Diabetes,18+,2015,Num of persons,"168,173"
South Carolina,Diabetes,18+,2016,Percent,18%
South Carolina,Diabetes,18+,2016,Num of persons,"183,198"
South Carolina,Pre-diabetes or borderline diabetes,18+,2013,Percent,7%
South Carolina,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"81,754"
South Carolina,Pre-diabetes or borderline diabetes,18+,2014,Percent,9%
South Carolina,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"97,530"
South Carolina,Pre-diabetes or borderline diabetes,18+,2015,Percent,8%
South Carolina,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"83,011"
South Carolina,Pre-diabetes or borderline diabetes,18+,2016,Percent,9%
South Carolina,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"87,478"
South Carolina,Heart disease (angina or CHD),18+,2013,Percent,6%
South Carolina,Heart disease (angina or CHD),18+,2013,Num of persons,"72,059"
South Carolina,Heart disease (angina or CHD),18+,2014,Percent,6%
South Carolina,Heart disease (angina or CHD),18+,2014,Num of persons,"70,596"
South Carolina,Heart disease (angina or CHD),18+,2015,Percent,6%
South Carolina,Heart disease (angina or CHD),18+,2015,Num of persons,"60,249"
South Carolina,Heart disease (angina or CHD),18+,2016,Percent,7%
South Carolina,Heart disease (angina or CHD),18+,2016,Num of persons,"69,247"
South Carolina,High cholesterol (among those tested),18+,2013,Percent,45%
South Carolina,High cholesterol (among those tested),18+,2013,Num of persons,"378,967"
South Carolina,High cholesterol (among those tested),18+,2014,Percent,NA
South Carolina,High cholesterol (among those tested),18+,2014,Num of persons,NA
South Carolina,High cholesterol (among those tested),18+,2015,Percent,44%
South Carolina,High cholesterol (among those tested),18+,2015,Num of persons,"325,405"
South Carolina,High cholesterol (among those tested),18+,2016,Percent,NA
South Carolina,High cholesterol (among those tested),18+,2016,Num of persons,NA
South Carolina,Hypertension,18+,2013,Percent,44%
South Carolina,Hypertension,18+,2013,Num of persons,"505,731"
South Carolina,Hypertension,18+,2014,Percent,NA
South Carolina,Hypertension,18+,2014,Num of persons,NA
South Carolina,Hypertension,18+,2015,Percent,45%
South Carolina,Hypertension,18+,2015,Num of persons,"456,410"
South Carolina,Hypertension,18+,2016,Percent,NA
South Carolina,Hypertension,18+,2016,Num of persons,NA
South Dakota,Arthritis,18+,2013,Percent,31%
South Dakota,Arthritis,18+,2013,Num of persons,"42,131"
South Dakota,Arthritis,18+,2014,Percent,33%
South Dakota,Arthritis,18+,2014,Num of persons,"43,618"
South Dakota,Arthritis,18+,2015,Percent,34%
South Dakota,Arthritis,18+,2015,Num of persons,"39,492"
South Dakota,Arthritis,18+,2016,Percent,38%
South Dakota,Arthritis,18+,2016,Num of persons,"42,557"
South Dakota,Asthma (current),18+,2013,Percent,11%
South Dakota,Asthma (current),18+,2013,Num of persons,"14,634"
South Dakota,Asthma (current),18+,2014,Percent,14%
South Dakota,Asthma (current),18+,2014,Num of persons,"18,328"
South Dakota,Asthma (current),18+,2015,Percent,11%
South Dakota,Asthma (current),18+,2015,Num of persons,"13,097"
South Dakota,Asthma (current),18+,2016,Percent,10%
South Dakota,Asthma (current),18+,2016,Num of persons,"11,554"
South Dakota,Cancer,18+,2013,Percent,14%
South Dakota,Cancer,18+,2013,Num of persons,"19,567"
South Dakota,Cancer,18+,2014,Percent,13%
South Dakota,Cancer,18+,2014,Num of persons,"17,089"
South Dakota,Cancer,18+,2015,Percent,12%
South Dakota,Cancer,18+,2015,Num of persons,"14,610"
South Dakota,Cancer,18+,2016,Percent,13%
South Dakota,Cancer,18+,2016,Num of persons,"14,660"
South Dakota,Chronic kidney disease,18+,2013,Percent,4%
South Dakota,Chronic kidney disease,18+,2013,Num of persons,"5,791"
South Dakota,Chronic kidney disease,18+,2014,Percent,3%
South Dakota,Chronic kidney disease,18+,2014,Num of persons,"4,391"
South Dakota,Chronic kidney disease,18+,2015,Percent,4%
South Dakota,Chronic kidney disease,18+,2015,Num of persons,"4,725"
South Dakota,Chronic kidney disease,18+,2016,Percent,3%
South Dakota,Chronic kidney disease,18+,2016,Num of persons,"3,542"
South Dakota,COPD,18+,2013,Percent,9%
South Dakota,COPD,18+,2013,Num of persons,"12,491"
South Dakota,COPD,18+,2014,Percent,11%
South Dakota,COPD,18+,2014,Num of persons,"15,010"
South Dakota,COPD,18+,2015,Percent,11%
South Dakota,COPD,18+,2015,Num of persons,"13,299"
South Dakota,COPD,18+,2016,Percent,13%
South Dakota,COPD,18+,2016,Num of persons,"15,161"
South Dakota,Depression,18+,2013,Percent,24%
South Dakota,Depression,18+,2013,Num of persons,"32,330"
South Dakota,Depression,18+,2014,Percent,27%
South Dakota,Depression,18+,2014,Num of persons,"34,725"
South Dakota,Depression,18+,2015,Percent,26%
South Dakota,Depression,18+,2015,Num of persons,"30,698"
South Dakota,Depression,18+,2016,Percent,24%
South Dakota,Depression,18+,2016,Num of persons,"26,894"
South Dakota,Diabetes,18+,2013,Percent,11%
South Dakota,Diabetes,18+,2013,Num of persons,"15,791"
South Dakota,Diabetes,18+,2014,Percent,14%
South Dakota,Diabetes,18+,2014,Num of persons,"17,900"
South Dakota,Diabetes,18+,2015,Percent,14%
South Dakota,Diabetes,18+,2015,Num of persons,"16,465"
South Dakota,Diabetes,18+,2016,Percent,13%
South Dakota,Diabetes,18+,2016,Num of persons,"14,582"
South Dakota,Pre-diabetes or borderline diabetes,18+,2013,Percent,8%
South Dakota,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"10,699"
South Dakota,Pre-diabetes or borderline diabetes,18+,2014,Percent,7%
South Dakota,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"8,742"
South Dakota,Pre-diabetes or borderline diabetes,18+,2015,Percent,6%
South Dakota,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"7,388"
South Dakota,Pre-diabetes or borderline diabetes,18+,2016,Percent,8%
South Dakota,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"9,180"
South Dakota,Heart disease (angina or CHD),18+,2013,Percent,7%
South Dakota,Heart disease (angina or CHD),18+,2013,Num of persons,"9,080"
South Dakota,Heart disease (angina or CHD),18+,2014,Percent,6%
South Dakota,Heart disease (angina or CHD),18+,2014,Num of persons,"7,182"
South Dakota,Heart disease (angina or CHD),18+,2015,Percent,8%
South Dakota,Heart disease (angina or CHD),18+,2015,Num of persons,"9,031"
South Dakota,Heart disease (angina or CHD),18+,2016,Percent,7%
South Dakota,Heart disease (angina or CHD),18+,2016,Num of persons,"8,145"
South Dakota,High cholesterol (among those tested),18+,2013,Percent,39%
South Dakota,High cholesterol (among those tested),18+,2013,Num of persons,"34,761"
South Dakota,High cholesterol (among those tested),18+,2014,Percent,NA
South Dakota,High cholesterol (among those tested),18+,2014,Num of persons,NA
South Dakota,High cholesterol (among those tested),18+,2015,Percent,40%
South Dakota,High cholesterol (among those tested),18+,2015,Num of persons,"32,784"
South Dakota,High cholesterol (among those tested),18+,2016,Percent,NA
South Dakota,High cholesterol (among those tested),18+,2016,Num of persons,NA
South Dakota,Hypertension,18+,2013,Percent,35%
South Dakota,Hypertension,18+,2013,Num of persons,"48,508"
South Dakota,Hypertension,18+,2014,Percent,NA
South Dakota,Hypertension,18+,2014,Num of persons,NA
South Dakota,Hypertension,18+,2015,Percent,35%
South Dakota,Hypertension,18+,2015,Num of persons,"41,540"
South Dakota,Hypertension,18+,2016,Percent,NA
South Dakota,Hypertension,18+,2016,Num of persons,NA
Tennessee,Arthritis,18+,2013,Percent,36%
Tennessee,Arthritis,18+,2013,Num of persons,"487,869"
Tennessee,Arthritis,18+,2014,Percent,42%
Tennessee,Arthritis,18+,2014,Num of persons,"598,667"
Tennessee,Arthritis,18+,2015,Percent,42%
Tennessee,Arthritis,18+,2015,Num of persons,"585,395"
Tennessee,Arthritis,18+,2016,Percent,41%
Tennessee,Arthritis,18+,2016,Num of persons,"534,822"
Tennessee,Asthma (current),18+,2013,Percent,11%
Tennessee,Asthma (current),18+,2013,Num of persons,"149,186"
Tennessee,Asthma (current),18+,2014,Percent,13%
Tennessee,Asthma (current),18+,2014,Num of persons,"186,466"
Tennessee,Asthma (current),18+,2015,Percent,13%
Tennessee,Asthma (current),18+,2015,Num of persons,"182,339"
Tennessee,Asthma (current),18+,2016,Percent,17%
Tennessee,Asthma (current),18+,2016,Num of persons,"222,619"
Tennessee,Cancer,18+,2013,Percent,13%
Tennessee,Cancer,18+,2013,Num of persons,"184,718"
Tennessee,Cancer,18+,2014,Percent,12%
Tennessee,Cancer,18+,2014,Num of persons,"163,393"
Tennessee,Cancer,18+,2015,Percent,15%
Tennessee,Cancer,18+,2015,Num of persons,"203,576"
Tennessee,Cancer,18+,2016,Percent,14%
Tennessee,Cancer,18+,2016,Num of persons,"187,388"
Tennessee,Chronic kidney disease,18+,2013,Percent,4%
Tennessee,Chronic kidney disease,18+,2013,Num of persons,"50,220"
Tennessee,Chronic kidney disease,18+,2014,Percent,5%
Tennessee,Chronic kidney disease,18+,2014,Num of persons,"66,381"
Tennessee,Chronic kidney disease,18+,2015,Percent,5%
Tennessee,Chronic kidney disease,18+,2015,Num of persons,"72,989"
Tennessee,Chronic kidney disease,18+,2016,Percent,5%
Tennessee,Chronic kidney disease,18+,2016,Num of persons,"59,007"
Tennessee,COPD,18+,2013,Percent,19%
Tennessee,COPD,18+,2013,Num of persons,"251,951"
Tennessee,COPD,18+,2014,Percent,18%
Tennessee,COPD,18+,2014,Num of persons,"252,401"
Tennessee,COPD,18+,2015,Percent,16%
Tennessee,COPD,18+,2015,Num of persons,"221,513"
Tennessee,COPD,18+,2016,Percent,19%
Tennessee,COPD,18+,2016,Num of persons,"246,782"
Tennessee,Depression,18+,2013,Percent,31%
Tennessee,Depression,18+,2013,Num of persons,"420,869"
Tennessee,Depression,18+,2014,Percent,34%
Tennessee,Depression,18+,2014,Num of persons,"474,866"
Tennessee,Depression,18+,2015,Percent,31%
Tennessee,Depression,18+,2015,Num of persons,"438,243"
Tennessee,Depression,18+,2016,Percent,32%
Tennessee,Depression,18+,2016,Num of persons,"424,306"
Tennessee,Diabetes,18+,2013,Percent,16%
Tennessee,Diabetes,18+,2013,Num of persons,"222,856"
Tennessee,Diabetes,18+,2014,Percent,16%
Tennessee,Diabetes,18+,2014,Num of persons,"230,828"
Tennessee,Diabetes,18+,2015,Percent,18%
Tennessee,Diabetes,18+,2015,Num of persons,"246,830"
Tennessee,Diabetes,18+,2016,Percent,17%
Tennessee,Diabetes,18+,2016,Num of persons,"216,885"
Tennessee,Pre-diabetes or borderline diabetes,18+,2013,Percent,16%
Tennessee,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"213,599"
Tennessee,Pre-diabetes or borderline diabetes,18+,2014,Percent,11%
Tennessee,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"154,225"
Tennessee,Pre-diabetes or borderline diabetes,18+,2015,Percent,8%
Tennessee,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"114,198"
Tennessee,Pre-diabetes or borderline diabetes,18+,2016,Percent,2%
Tennessee,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"27,583"
Tennessee,Heart disease (angina or CHD),18+,2013,Percent,9%
Tennessee,Heart disease (angina or CHD),18+,2013,Num of persons,"117,260"
Tennessee,Heart disease (angina or CHD),18+,2014,Percent,9%
Tennessee,Heart disease (angina or CHD),18+,2014,Num of persons,"122,357"
Tennessee,Heart disease (angina or CHD),18+,2015,Percent,6%
Tennessee,Heart disease (angina or CHD),18+,2015,Num of persons,"87,134"
Tennessee,Heart disease (angina or CHD),18+,2016,Percent,7%
Tennessee,Heart disease (angina or CHD),18+,2016,Num of persons,"91,897"
Tennessee,High cholesterol (among those tested),18+,2013,Percent,44%
Tennessee,High cholesterol (among those tested),18+,2013,Num of persons,"447,211"
Tennessee,High cholesterol (among those tested),18+,2014,Percent,NA
Tennessee,High cholesterol (among those tested),18+,2014,Num of persons,NA
Tennessee,High cholesterol (among those tested),18+,2015,Percent,47%
Tennessee,High cholesterol (among those tested),18+,2015,Num of persons,"497,249"
Tennessee,High cholesterol (among those tested),18+,2016,Percent,NA
Tennessee,High cholesterol (among those tested),18+,2016,Num of persons,NA
Tennessee,Hypertension,18+,2013,Percent,46%
Tennessee,Hypertension,18+,2013,Num of persons,"635,884"
Tennessee,Hypertension,18+,2014,Percent,NA
Tennessee,Hypertension,18+,2014,Num of persons,NA
Tennessee,Hypertension,18+,2015,Percent,47%
Tennessee,Hypertension,18+,2015,Num of persons,"656,176"
Tennessee,Hypertension,18+,2016,Percent,NA
Tennessee,Hypertension,18+,2016,Num of persons,NA
Texas,Arthritis,18+,2013,Percent,24%
Texas,Arthritis,18+,2013,Num of persons,"1,371,673"
Texas,Arthritis,18+,2014,Percent,23%
Texas,Arthritis,18+,2014,Num of persons,"1,290,172"
Texas,Arthritis,18+,2015,Percent,23%
Texas,Arthritis,18+,2015,Num of persons,"1,201,649"
Texas,Arthritis,18+,2016,Percent,26%
Texas,Arthritis,18+,2016,Num of persons,"1,450,467"
Texas,Asthma (current),18+,2013,Percent,7%
Texas,Asthma (current),18+,2013,Num of persons,"422,125"
Texas,Asthma (current),18+,2014,Percent,8%
Texas,Asthma (current),18+,2014,Num of persons,"446,321"
Texas,Asthma (current),18+,2015,Percent,10%
Texas,Asthma (current),18+,2015,Num of persons,"552,216"
Texas,Asthma (current),18+,2016,Percent,9%
Texas,Asthma (current),18+,2016,Num of persons,"515,975"
Texas,Cancer,18+,2013,Percent,8%
Texas,Cancer,18+,2013,Num of persons,"464,060"
Texas,Cancer,18+,2014,Percent,7%
Texas,Cancer,18+,2014,Num of persons,"401,480"
Texas,Cancer,18+,2015,Percent,8%
Texas,Cancer,18+,2015,Num of persons,"414,974"
Texas,Cancer,18+,2016,Percent,8%
Texas,Cancer,18+,2016,Num of persons,"453,855"
Texas,Chronic kidney disease,18+,2013,Percent,4%
Texas,Chronic kidney disease,18+,2013,Num of persons,"223,041"
Texas,Chronic kidney disease,18+,2014,Percent,4%
Texas,Chronic kidney disease,18+,2014,Num of persons,"215,400"
Texas,Chronic kidney disease,18+,2015,Percent,4%
Texas,Chronic kidney disease,18+,2015,Num of persons,"197,339"
Texas,Chronic kidney disease,18+,2016,Percent,4%
Texas,Chronic kidney disease,18+,2016,Num of persons,"215,706"
Texas,COPD,18+,2013,Percent,7%
Texas,COPD,18+,2013,Num of persons,"386,023"
Texas,COPD,18+,2014,Percent,8%
Texas,COPD,18+,2014,Num of persons,"426,739"
Texas,COPD,18+,2015,Percent,8%
Texas,COPD,18+,2015,Num of persons,"412,022"
Texas,COPD,18+,2016,Percent,7%
Texas,COPD,18+,2016,Num of persons,"409,658"
Texas,Depression,18+,2013,Percent,21%
Texas,Depression,18+,2013,Num of persons,"1,203,102"
Texas,Depression,18+,2014,Percent,22%
Texas,Depression,18+,2014,Num of persons,"1,207,996"
Texas,Depression,18+,2015,Percent,23%
Texas,Depression,18+,2015,Num of persons,"1,226,976"
Texas,Depression,18+,2016,Percent,16%
Texas,Depression,18+,2016,Num of persons,"898,771"
Texas,Diabetes,18+,2013,Percent,15%
Texas,Diabetes,18+,2013,Num of persons,"873,848"
Texas,Diabetes,18+,2014,Percent,15%
Texas,Diabetes,18+,2014,Num of persons,"828,766"
Texas,Diabetes,18+,2015,Percent,17%
Texas,Diabetes,18+,2015,Num of persons,"877,024"
Texas,Diabetes,18+,2016,Percent,17%
Texas,Diabetes,18+,2016,Num of persons,"955,743"
Texas,Pre-diabetes or borderline diabetes,18+,2013,Percent,2%
Texas,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"87,049"
Texas,Pre-diabetes or borderline diabetes,18+,2014,Percent,1%
Texas,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"56,787"
Texas,Pre-diabetes or borderline diabetes,18+,2015,Percent,1%
Texas,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"60,494"
Texas,Pre-diabetes or borderline diabetes,18+,2016,Percent,1%
Texas,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"76,452"
Texas,Heart disease (angina or CHD),18+,2013,Percent,5%
Texas,Heart disease (angina or CHD),18+,2013,Num of persons,"260,017"
Texas,Heart disease (angina or CHD),18+,2014,Percent,5%
Texas,Heart disease (angina or CHD),18+,2014,Num of persons,"274,045"
Texas,Heart disease (angina or CHD),18+,2015,Percent,4%
Texas,Heart disease (angina or CHD),18+,2015,Num of persons,"229,479"
Texas,Heart disease (angina or CHD),18+,2016,Percent,5%
Texas,Heart disease (angina or CHD),18+,2016,Num of persons,"304,958"
Texas,High cholesterol (among those tested),18+,2013,Percent,41%
Texas,High cholesterol (among those tested),18+,2013,Num of persons,"1,566,958"
Texas,High cholesterol (among those tested),18+,2014,Percent,NA
Texas,High cholesterol (among those tested),18+,2014,Num of persons,NA
Texas,High cholesterol (among those tested),18+,2015,Percent,36%
Texas,High cholesterol (among those tested),18+,2015,Num of persons,"1,227,167"
Texas,High cholesterol (among those tested),18+,2016,Percent,NA
Texas,High cholesterol (among those tested),18+,2016,Num of persons,NA
Texas,Hypertension,18+,2013,Percent,35%
Texas,Hypertension,18+,2013,Num of persons,"1,976,193"
Texas,Hypertension,18+,2014,Percent,NA
Texas,Hypertension,18+,2014,Num of persons,NA
Texas,Hypertension,18+,2015,Percent,31%
Texas,Hypertension,18+,2015,Num of persons,"1,637,802"
Texas,Hypertension,18+,2016,Percent,NA
Texas,Hypertension,18+,2016,Num of persons,NA
United States,Arthritis,18+,2013,Percent,30%
United States,Arthritis,18+,2013,Num of persons,"20,094,888"
United States,Arthritis,18+,2014,Percent,31%
United States,Arthritis,18+,2014,Num of persons,"20,048,262"
United States,Arthritis,18+,2015,Percent,30%
United States,Arthritis,18+,2015,Num of persons,"17,827,424"
United States,Arthritis,18+,2016,Percent,31%
United States,Arthritis,18+,2016,Num of persons,"18,682,474"
United States,Asthma (current),18+,2013,Percent,12%
United States,Asthma (current),18+,2013,Num of persons,"7,856,430"
United States,Asthma (current),18+,2014,Percent,12%
United States,Asthma (current),18+,2014,Num of persons,"8,019,182"
United States,Asthma (current),18+,2015,Percent,12%
United States,Asthma (current),18+,2015,Num of persons,"7,053,149"
United States,Asthma (current),18+,2016,Percent,12%
United States,Asthma (current),18+,2016,Num of persons,"7,146,052"
United States,Cancer,18+,2013,Percent,10%
United States,Cancer,18+,2013,Num of persons,"6,816,750"
United States,Cancer,18+,2014,Percent,10%
United States,Cancer,18+,2014,Num of persons,"6,533,432"
United States,Cancer,18+,2015,Percent,10%
United States,Cancer,18+,2015,Num of persons,"6,195,762"
United States,Cancer,18+,2016,Percent,10%
United States,Cancer,18+,2016,Num of persons,"6,211,479"
United States,Chronic kidney disease,18+,2013,Percent,4%
United States,Chronic kidney disease,18+,2013,Num of persons,"2,621,822"
United States,Chronic kidney disease,18+,2014,Percent,4%
United States,Chronic kidney disease,18+,2014,Num of persons,"2,630,136"
United States,Chronic kidney disease,18+,2015,Percent,4%
United States,Chronic kidney disease,18+,2015,Num of persons,"2,364,451"
United States,Chronic kidney disease,18+,2016,Percent,5%
United States,Chronic kidney disease,18+,2016,Num of persons,"2,712,028"
United States,COPD,18+,2013,Percent,11%
United States,COPD,18+,2013,Num of persons,"7,053,438"
United States,COPD,18+,2014,Percent,11%
United States,COPD,18+,2014,Num of persons,"7,141,307"
United States,COPD,18+,2015,Percent,11%
United States,COPD,18+,2015,Num of persons,"6,468,921"
United States,COPD,18+,2016,Percent,11%
United States,COPD,18+,2016,Num of persons,"6,730,303"
